-1	44374,44416,2913537,2913541
+1	3074529,49422,49429
+1	7785735,132569,132604,132610
+1	46844,2990192,2991404,2991427,2991450,2992028,2993613
+1	2957871,2958394,45884,2959890,46062
+1	165623,165624,165671,8744403,165686,165699,165772
+1	2745143,37582,2745231,2745306
-1	151530,151551,151624
+1	31314,31333,31341,31358,31368
+1	140549,140567,140563,140624
-1	3411064,59866,59921,3414600
-1	84699,4871183,84702
+1	5353284,94600,5355512
+1	3531193,64403,3533134
+1	71748,3737827,71814
+1	73773,4043553,73778,73826,73827,4050529,4050812,73847
-1	42561,42571,2851962,42578,2853028
+1	64116,64130,3525515,64166,3526906,64168,3527020,64179,3527378,3527635,64231,64237,3528564,3528964
+1	38154,38166,2746085
+1	130737,130756,7736446,130837
+1	37325,2744800,2744830
-1	2985050,2988214,2988464
+1	84535,84594,4868092,4870169
+1	85977,4940496,86003,4942792,86037,4944517
+1	128593,128604,7662098,128630
+1	155747,155814,155900
+1	50331,3108098,3108187,3109710
-1	3125285,3126321,50914
-1	129153,129205,129207
+1	2729283,39355,2729768,39365,2730354,39369,2731106,39394,2731161,39410,39427,2734098
-1	3061195,49063,3061235
+1	47398,3002851,47422
+1	110167,6402127,110199,6433758
-1	3687351,70219,3691562
-1	5103016,88892,5109734,89011,5111870
+1	43340,2878756,43438
+1	4075504,74106,4075561,74205
-1	43766,2892707,43783,2892864,2892889,2892987,2893273,2893010,43798,2893808,2896150
+1	64121,3527852,64233,3528564,3528688
+1	3335249,3334895,57346,3334898,57374,3335995
-1	38156,38159,38172
-1	4421196,76821,4420929,76872,4434203
+1	50054,50095,3100636
+1	4081882,4083378,4093456,4098089,4121164
+1	3391922,59068,3393398,59124,3394103,3394255,59158,59163,59189,3395859
+1	180141,180182,180368,180385
-1	3013976,47784,3016023,3016438
+1	46332,2975778,2975979,46423,2976794,46424,2977975
+1	53064,3204770,53083,3205221
+1	166018,8754370,166041
+1	38215,38225,2746178,2746193,2746212,2746261,38273,2746356
+1	49326,3070916,3071016,49341,49344,3072243,3072416
-1	9319066,179941,180024
+1	3434326,60801,3437006
+1	6628380,113092,113098,113207,113246,113358
+1	6254435,108109,6258882,108165,108167,108173
+1	52423,3182032,52447,3182078,3182089
+1	132329,132430,132516,132604,132610,132704
+1	90470,90472,5187564,90487,5189362
+1	161818,161850,8619269,8619580,162149
+1	77033,4444181,77104,4451915
+1	172211,8930515,172246,172267,172293,172354
-1	3345122,57652,3345528,3345583,3347127
+1	2925963,44819,44893
-1	2809218,41341,41406,2813965
+1	5584782,5588672,99180
+1	58152,58240,3363973
-1	2922137,2922667,44732,44736
-1	2760997,39925,2761735,2761975
+1	137294,137324,137350
+1	3337052,57486,3339498,57494,3339560,3339563,57532,57554,57601
-1	2854133,2854213,2855091,42701,2857563,2857659,2856510
+1	33134,33152,33193,33201,2738376,2738382
+1	2741625,35258,2741661
+1	50699,3119640,3119689
+1	137211,137220,137242,137350
+1	59212,3397331,3397800,59256,59264,3397997,59360,59408,59470
+1	172063,8925956,172081,172092
+1	2958944,2959276,2959428,45886
+1	6209535,107406,107414,6212575
-1	2768048,2768171,40157,2771038,40183
+1	4837208,83996,4837814
+1	42380,2845564,42436,42467
-1	2741215,2741265,2741282,34933
-1	3451004,3452133,61453
+1	94794,95131,5373624
-1	158225,158255,158258
+1	116623,6885385,116632,6887531
+1	169833,8864492,169897
+1	75973,4286401,76084
+1	3416413,60105,3417155,60111,3417937
+1	3051016,48776,48785,3052957,3052958,3052974,3053193,3053215
-1	7172475,120437,7200077,120570
-1	41346,41350,2810129
-1	79488,4640892,4644254
+1	148179,8236188,8236228
+1	90670,90705,5198951,5200774
+1	51262,51344,3142375
-1	51752,3156101,51763
-1	65993,3570574,3570669
+1	6919752,6934366,117346
-1	3036683,48314,3038666
+1	175855,176077,9049467,176091
+1	78311,4590468,4593588,78378,4593901,78457
+1	166547,166554,166622
+1	162679,162682,162746
-1	88823,5102527,5109734
-1	153879,8388603,153944
+1	38374,2746492,2746499
-1	3604096,67322,67369,67370,67413
+1	60199,60203,3420276,3421132,60396,3424399
-1	8327082,151530,151869
-1	73428,4012075,4009851
-1	2745001,37498,2745037
+1	53043,3204049,53045,53051,3204313,53053,53081,3204408
+1	3507448,63454,3507435,63493,3507975,63495,63502,63499,3508677,63533
-1	149099,8260374,149094,149191
+1	39370,39405,2732709,2733552
+1	128164,7645027,128344
-1	3560726,3562104,3562405,65721,3563869,3564204
+1	3118408,50710,3121606
-1	148808,148889,148957
+1	2893229,2893308,2894135,43806,2894233,2894798
+1	3416619,60111,3417937
-1	106154,106261,106269,106371,106373,106388,106409,106412
-1	2901508,2901768,2902898,2903028,2903215,2903350,2903744,44082
+1	173981,174054,174068
-1	96542,96615,5437632,96648,96681,96703,96771,5439360
-1	8642842,162520,162543,162591
+1	5481375,97131,97138,97121,5484055
-1	3608197,3608255,3609098,3609109,3617723,3609510,67549,3610461,3614379,3614649
+1	5573509,98808,5579141,5583721
+1	54690,3254302,54694,54736,3255999,3257128,3257927
+1	63547,63624,3512036,3512040,63638,3512247,3512828,63654,3512922
+1	3373872,3374214,58726
+1	5236993,91878,91964,5241279,92000,5243141
-1	2734485,2735027,2737558,39542
+1	3093264,49978,3095742
+1	3028057,3028327,48092
-1	2741940,35561,35608
-1	5082693,88560,5085214,88591,5098919,88780
-1	4896740,85336,85386,4905495
+1	84401,4858869,84443,4861792
-1	41378,41407,41433,41464,41484
+1	3112491,3113064,50567,3115514,3116877,50600,3116808,50639
+1	123745,7392728,123903
+1	3085365,3085420,49755,3087981,3088570,49799,49815
+1	116778,116858,116942,6912621
+1	33864,2739580,2739640
-1	2892707,2893160,43816
+1	3235916,54156,3236766
+1	68263,3631742,3632092
+1	122028,7295000,7300792
+1	5042426,5051039,87993,88013,5053807,88023
-1	3122493,3124903,50884,3126350
-1	3593117,66908,3594729
+1	176601,176783,176802
+1	4846650,84185,4847030,4850750,4851116
+1	3075282,49439,3078171
+1	59064,3392768,3394395
-1	103163,5875756,5893316
+1	72808,3942395,3944602,3966905,72937,3967698
+1	4703703,81050,4703709
+1	43346,2878992,43364
+1	73827,4050529,4050812
+1	75228,75330,75334,4212355
+1	71120,3718759,3720016
+1	7954526,137468,137543,137611
+1	149679,149702,149723,149771,149815
+1	7153823,119946,7156265,119978,7165510,120161,7165887
+1	63864,3518735,3519518,63884,3524056
-1	171856,171871,8923830
+1	132385,7794918,132695
-1	2854112,2855741,2855984
+1	59721,3408745,59794
-1	35749,35755,2742357,2742372,35802
+1	167676,8806305,8806467,167736
+1	2738483,2738547,2738561,2738625
+1	180286,9342246,9342500
-1	5464877,97037,5477216,97060,5481733
-1	155017,8419928,8420211,155035,155079,155112
-1	69214,3656850,3658292,3661028,3661281
+1	133557,7827899,133558,7827986,133584
+1	3239302,54232,3239426
-1	128768,128771,128833,7670166,7672559
+1	3217520,3218475,3218912
+1	4211018,4212185,75341,4246981
+1	2746812,2746814,38652,2746861,38693,38736
-1	69887,69936,69939,3678555,69943,3679263,69960,69974,3680636,3681351
+1	88901,5109734,88971,5111636,89005
-1	55022,55051,55090
+1	3234810,3236523,54192,3238361,3238565
-1	9244125,178997,179106
-1	2853889,2856098,42667,2856108,2856475,2857563,2857659
+1	6742435,114648,6747011
+1	117710,6968708,6988804
-1	6789297,115342,115354,6790010,6792817,115439,6794265
+1	39181,2723982,2727576
+1	77089,77104,4451915
+1	100996,101021,101048
-1	49179,3065589,49215
+1	70026,3683809,70097,70180
+1	131428,131463,7757150,7758551
-1	3344725,3344840,3345412,3346488
-1	4678793,80429,4678745,80496,4680847
+1	121693,121751,121760,121796,121898,121899,7285356,121903,121941
+1	71002,3714171,71033
+1	3255536,3257128,54787,54814,3258292,3258266
+1	84541,4865952,4868761
-1	67424,67432,67433,67439,67478
+1	2738840,2738876,2738877
+1	3397800,59256,59264,3397997,59385,3400720
+1	5863873,102954,102960
-1	117740,6973426,117743
+1	46368,2976012,2976017,2976807,2976839,46434,2977589,46439,2977646
-1	72961,3985702,3986228
+1	117169,6930539,6934366
+1	3525817,64167,64168,3527020,64179,3527378,64270
+1	170061,8871700,170119
+1	102142,102150,5797728
+1	156516,156621,8466314
-1	3044055,48541,3044312
+1	2984232,46748,2985258,2985437,2985516
-1	58326,58537,3369580
-1	139096,139166,139243
-1	175633,9011468,175659
-1	105243,105245,6032814,105274,6034006,6036838,105292,6042031
-1	2745582,37911,2745605
+1	36932,2744271,37003,37040
-1	65683,3563013,3563025,65702,65710,65712,3563938,65730,65751
-1	163946,163975,164019
-1	3044973,48566,3046192,3046765,3047637,48646,3049613,3049954
+1	73827,4050529,4050812,4059159
+1	161795,8618150,161818,8619580
-1	108040,6251132,108053
+1	5953836,104427,104446,5971092,104453
-1	173096,8953200,173109
-1	134892,7871141,135025,135105
+1	176938,9106235,9108333
+1	42440,42458,2848203
+1	148139,148162,148161,8235999,8236228
-1	55133,3268421,3269477
-1	7095464,119195,7099092
-1	2809494,41400,2812605
+1	40013,2765498,2765557,2767322
+1	130391,130388,130389,7723547,130393,130399,7725426,130428,130438,130492,7729170,130583,7729335,130602,130608,130615
-1	99887,5631999,5632529
+1	3197580,52869,52899
+1	3333403,3334952,57350,3335022,57374,3335995
+1	161728,8615319,161730,162201
+1	3736184,71720,3737282
+1	4795045,83172,4795685,4796754,4797241,4797350,83197,4798511,4798739
+1	2936038,2936174,45256,45267,2938049,2940039
+1	44721,44732,2925357
-1	3414239,3414242,59964,59978
+1	7798368,7802310,7804371
+1	3049167,3050662,3051287,3051704
+1	102884,5857662,103137
+1	2957984,2958944,2959292,2959428
-1	127174,127189,127238,7591177,127304
-1	58384,3366062,3366059,58404,3369580,3369802
+1	2824263,2825416,41818,41841,2826695,2828404
+1	84029,4839687,84032,4839768,84050,4842650
+1	44193,44265,2909862,2910136
+1	180250,9341238,180287,9342500
+1	41674,41706,2823971
+1	89353,5131178,5131357,89367
+1	142193,142335,8093532,142356
-1	79518,4643570,4643699,4644254,4645919,4646111
-1	144956,144967,144995
-1	2926344,44826,2926475,2926560
-1	99126,5594990,5597483
-1	2739186,2739216,2739412
-1	150598,150676,150751
+1	7363808,123386,123450,123495,123516
+1	169921,8867763,170037,8871351
-1	58388,58532,3369580
+1	179684,9298460,179720,9299949
-1	56510,3310273,56519,3310263,56526,56525
+1	2740002,2740059,2740075,2740090
+1	2786775,40693,2790132
+1	108844,108861,6305855,108862,6311075
-1	79484,4644254,4645919
+1	78014,78016,4568787,4568970
-1	41188,41189,2805717,41263
+1	77838,4554600,4556439,77892,4559862
+1	3078427,3080269,49584,3080786,3083327
-1	2925866,44813,44884,2927685
+1	2718238,2718287,2719298
+1	3474133,62350,62383,62393
+1	38374,2746492,2746499
-1	6121543,106323,6122264,106407
-1	38589,2746760,2746765,2746814,38668,38724,2746944
-1	61349,3449734,3449867,3449965
-1	133351,133364,7821326,7823560
+1	35702,2742286,2742297
+1	127683,127885,128047
+1	3531898,64376,3531976
+1	5163402,89943,89978,5165806
-1	69040,3652240,3652467,3656320
+1	56591,3313137,56615,3313485,56651,3314687,56660
+1	2932978,45170,2933748
+1	3301017,3303622,3303918
+1	167881,8812560,167900
+1	3153344,51672,51694,51713,51732
-1	3571409,3571692,3572997,66094,3573125
+1	177193,177214,177319
+1	91274,5219613,91356,5220150,5220313,91398
-1	120832,120898,7231462,120978
+1	89675,5150282,5157268
-1	59493,3403399,59543,59650,59652
-1	3221710,53755,3222812,3222888,53764,3223303,53804,53823,53831,3225073,53847,3225906
+1	70634,3703962,70695,3704015
+1	134221,134360,134424,134430,134495
+1	2746794,2746802,2746812,2746814,38652,2746971
-1	62036,62146,62221,62238
-1	5727415,101313,101319,5736575,5738508
-1	58326,58388,58532
+1	137135,137143,137367,7950719
-1	83594,4819715,83638,4819834,83652,4825718
+1	2994988,2995740,2997018
+1	3281802,55526,3283282,3283485,55754,3288331,55757,3288366
+1	5581187,99010,5583950
+1	6262346,108163,108166,108210,6265949,108313,6269518
+1	123838,7395207,7395639,123865
-1	168537,8831908,168613
-1	3420193,60377,3423554,60396,3424399,3424641
-1	3057258,3059243,48983
+1	98755,99004,5582831
-1	90992,91009,5210171,5211924
-1	129878,7706214,129888,129898,129906,129921
-1	3514637,63748,3515938,63780,63828
+1	39355,2729768,2730330,39369,2731106,39394,2731161,39400,2731230,39410,2733552
